level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,0.001,1.0,0.000244,Nan
0.1,SSB_VAE,10,10000,0.015625,Nan
0.1,SSB_VAE,10000,10000000,0.003906,Nan
0.2,SSB_VAE,0.001,1.0,0.000244,Nan
0.2,SSB_VAE,10,10000,0.015625,Nan
0.2,SSB_VAE,10000,10000000,0.003906,Nan
0.3,SSB_VAE,0.001,1.0,0.000244,Nan
0.3,SSB_VAE,10,10000,0.015625,Nan
0.3,SSB_VAE,10000,10000000,0.003906,Nan
0.4,SSB_VAE,0.001,1.0,0.000244,Nan
0.4,SSB_VAE,10,10000,0.015625,Nan
0.4,SSB_VAE,10000,10000000,0.003906,Nan
0.5,SSB_VAE,0.001,1.0,0.000244,Nan
0.5,SSB_VAE,10,10000,0.015625,Nan
0.5,SSB_VAE,10000,10000000,0.003906,Nan
0.6,SSB_VAE,0.001,1.0,0.000244,Nan
0.6,SSB_VAE,10,10000,0.015625,Nan
0.6,SSB_VAE,10000,10000000,0.003906,Nan
0.7,SSB_VAE,0.001,1.0,0.000244,Nan
0.7,SSB_VAE,10,10000,0.015625,Nan
0.7,SSB_VAE,10000,10000000,0.003906,Nan
0.8,SSB_VAE,0.001,1.0,0.000244,Nan
0.8,SSB_VAE,10,10000,0.015625,Nan
0.8,SSB_VAE,10000,10000000,0.003906,Nan
0.9,SSB_VAE,0.001,1.0,0.000244,Nan
0.9,SSB_VAE,10,10000,0.015625,Nan
0.9,SSB_VAE,10000,10000000,0.003906,Nan
1.0,SSB_VAE,0.001,1.0,0.000244,Nan
1.0,SSB_VAE,10,10000,0.015625,Nan
1.0,SSB_VAE,10000,10000000,0.003906,Nan
level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,10.0,10000000.0,0.000244,0.464764
0.1,SSB_VAE,100.0,100000000.0,0.000122,Nan
0.1,SSB_VAE,1.0,1000000000.0,6.1e-05,Nan
0.2,SSB_VAE,10.0,10000000.0,0.015625,0.5736654999999999
0.2,SSB_VAE,100.0,100000000.0,0.03125,Nan
0.2,SSB_VAE,1.0,1000000000.0,0.0625,Nan
0.3,SSB_VAE,10.0,10000000.0,0.015625,0.5821975
0.3,SSB_VAE,100.0,100000000.0,0.03125,Nan
0.3,SSB_VAE,1.0,1000000000.0,0.0625,Nan
0.4,SSB_VAE,0.001,1.0,0.003906,0.5873865
0.4,SSB_VAE,0.0001,0.1,0.001953,Nan
0.4,SSB_VAE,1e-05,0.01,0.007812,Nan
0.5,SSB_VAE,10.0,10000.0,0.015625,0.6272835
0.5,SSB_VAE,100.0,1000.0,0.03125,Nan
0.5,SSB_VAE,1.0,100000.0,0.0625,Nan
0.6,SSB_VAE,10.0,10000000.0,0.015625,0.6332114999999999
0.6,SSB_VAE,100.0,100000000.0,0.03125,Nan
0.6,SSB_VAE,1.0,1000000000.0,0.0625,Nan
0.7,SSB_VAE,10.0,10000000.0,0.003906,0.6942269999999999
0.7,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.7,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.8,SSB_VAE,10.0,1.0,0.015625,0.1809635
0.8,SSB_VAE,100.0,0.1,0.03125,Nan
0.8,SSB_VAE,1.0,0.01,0.0625,Nan
0.9,SSB_VAE,10.0,10000000.0,0.003906,0.754877
0.9,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.9,SSB_VAE,1.0,1000000000.0,0.007812,Nan
1.0,SSB_VAE,10.0,10000000.0,0.015625,0.7205085
1.0,SSB_VAE,100.0,100000000.0,0.03125,Nan
1.0,SSB_VAE,1.0,1000000000.0,0.0625,Nan
level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,10.0,10000000.0,0.000244,0.464764
0.1,SSB_VAE,100.0,100000000.0,0.000122,Nan
0.1,SSB_VAE,1.0,1000000000.0,6.1e-05,Nan
0.2,SSB_VAE,10.0,10000000.0,0.015625,0.5736654999999999
0.2,SSB_VAE,100.0,100000000.0,0.03125,Nan
0.2,SSB_VAE,1.0,1000000000.0,0.0625,Nan
0.3,SSB_VAE,10.0,10000000.0,0.015625,0.5821975
0.3,SSB_VAE,100.0,100000000.0,0.03125,Nan
0.3,SSB_VAE,1.0,1000000000.0,0.0625,Nan
0.4,SSB_VAE,0.001,1.0,0.003906,0.5873865
0.4,SSB_VAE,0.0001,0.1,0.001953,Nan
0.4,SSB_VAE,1e-05,0.01,0.007812,Nan
0.5,SSB_VAE,10.0,10000.0,0.015625,0.6272835
0.5,SSB_VAE,100.0,1000.0,0.03125,Nan
0.5,SSB_VAE,1.0,100000.0,0.0625,Nan
0.6,SSB_VAE,10.0,10000000.0,0.015625,0.6332114999999999
0.6,SSB_VAE,100.0,100000000.0,0.03125,Nan
0.6,SSB_VAE,1.0,1000000000.0,0.0625,Nan
0.7,SSB_VAE,10.0,10000000.0,0.003906,0.6942269999999999
0.7,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.7,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.8,SSB_VAE,10.0,1.0,0.015625,0.1809635
0.8,SSB_VAE,100.0,0.1,0.03125,Nan
0.8,SSB_VAE,1.0,0.01,0.0625,Nan
0.9,SSB_VAE,10.0,10000000.0,0.003906,0.754877
0.9,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.9,SSB_VAE,1.0,1000000000.0,0.007812,Nan
1.0,SSB_VAE,10.0,10000000.0,0.015625,0.7205085
1.0,SSB_VAE,100.0,100000000.0,0.03125,Nan
1.0,SSB_VAE,1.0,1000000000.0,0.0625,Nan
