level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,0.001,1.0,0.000244,Nan
0.1,SSB_VAE,10,10000,0.015625,Nan
0.1,SSB_VAE,10000,10000000,0.003906,Nan
0.2,SSB_VAE,0.001,1.0,0.000244,Nan
0.2,SSB_VAE,10,10000,0.015625,Nan
0.2,SSB_VAE,10000,10000000,0.003906,Nan
0.3,SSB_VAE,0.001,1.0,0.000244,Nan
0.3,SSB_VAE,10,10000,0.015625,Nan
0.3,SSB_VAE,10000,10000000,0.003906,Nan
0.4,SSB_VAE,0.001,1.0,0.000244,Nan
0.4,SSB_VAE,10,10000,0.015625,Nan
0.4,SSB_VAE,10000,10000000,0.003906,Nan
0.5,SSB_VAE,0.001,1.0,0.000244,Nan
0.5,SSB_VAE,10,10000,0.015625,Nan
0.5,SSB_VAE,10000,10000000,0.003906,Nan
0.6,SSB_VAE,0.001,1.0,0.000244,Nan
0.6,SSB_VAE,10,10000,0.015625,Nan
0.6,SSB_VAE,10000,10000000,0.003906,Nan
0.7,SSB_VAE,0.001,1.0,0.000244,Nan
0.7,SSB_VAE,10,10000,0.015625,Nan
0.7,SSB_VAE,10000,10000000,0.003906,Nan
0.8,SSB_VAE,0.001,1.0,0.000244,Nan
0.8,SSB_VAE,10,10000,0.015625,Nan
0.8,SSB_VAE,10000,10000000,0.003906,Nan
0.9,SSB_VAE,0.001,1.0,0.000244,Nan
0.9,SSB_VAE,10,10000,0.015625,Nan
0.9,SSB_VAE,10000,10000000,0.003906,Nan
1.0,SSB_VAE,0.001,1.0,0.000244,Nan
1.0,SSB_VAE,10,10000,0.015625,Nan
1.0,SSB_VAE,10000,10000000,0.003906,Nan
level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,10.0,10000000.0,0.003906,0.41572349999999997
0.1,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.1,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.2,SSB_VAE,10.0,10000000.0,0.003906,0.5018795
0.2,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.2,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.3,SSB_VAE,10.0,10000000.0,0.003906,0.5318685000000001
0.3,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.3,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.4,SSB_VAE,0.001,10000.0,0.003906,0.518594
0.4,SSB_VAE,0.0001,1000.0,0.001953,Nan
0.4,SSB_VAE,1e-05,100000.0,0.007812,Nan
0.5,SSB_VAE,0.001,10000000.0,0.015625,0.4737655000000001
0.5,SSB_VAE,0.0001,100000000.0,0.03125,Nan
0.5,SSB_VAE,1e-05,1000000000.0,0.0625,Nan
0.6,SSB_VAE,10.0,10000000.0,0.003906,0.5445085000000001
0.6,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.6,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.7,SSB_VAE,0.001,10000.0,0.003906,0.4989675
0.7,SSB_VAE,0.0001,1000.0,0.001953,Nan
0.7,SSB_VAE,1e-05,100000.0,0.007812,Nan
0.8,SSB_VAE,0.001,10000000.0,0.003906,0.5567960000000001
0.8,SSB_VAE,0.0001,100000000.0,0.001953,Nan
0.8,SSB_VAE,1e-05,1000000000.0,0.007812,Nan
0.9,SSB_VAE,0.001,10000000.0,0.015625,0.5399035
0.9,SSB_VAE,0.0001,100000000.0,0.03125,Nan
0.9,SSB_VAE,1e-05,1000000000.0,0.0625,Nan
1.0,SSB_VAE,0.001,10000000.0,0.000244,0.5249455000000001
1.0,SSB_VAE,0.0001,100000000.0,0.000122,Nan
1.0,SSB_VAE,1e-05,1000000000.0,6.1e-05,Nan
level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,10.0,10000000.0,0.003906,0.41572349999999997
0.1,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.1,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.2,SSB_VAE,10.0,10000000.0,0.003906,0.5018795
0.2,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.2,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.3,SSB_VAE,10.0,10000000.0,0.003906,0.5318685000000001
0.3,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.3,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.4,SSB_VAE,0.001,10000.0,0.003906,0.518594
0.4,SSB_VAE,0.0001,1000.0,0.001953,Nan
0.4,SSB_VAE,1e-05,100000.0,0.007812,Nan
0.5,SSB_VAE,0.001,10000000.0,0.015625,0.4737655000000001
0.5,SSB_VAE,0.0001,100000000.0,0.03125,Nan
0.5,SSB_VAE,1e-05,1000000000.0,0.0625,Nan
0.6,SSB_VAE,10.0,10000000.0,0.003906,0.5445085000000001
0.6,SSB_VAE,100.0,100000000.0,0.001953,Nan
0.6,SSB_VAE,1.0,1000000000.0,0.007812,Nan
0.7,SSB_VAE,0.001,10000.0,0.003906,0.4989675
0.7,SSB_VAE,0.0001,1000.0,0.001953,Nan
0.7,SSB_VAE,1e-05,100000.0,0.007812,Nan
0.8,SSB_VAE,0.001,10000000.0,0.003906,0.5567960000000001
0.8,SSB_VAE,0.0001,100000000.0,0.001953,Nan
0.8,SSB_VAE,1e-05,1000000000.0,0.007812,Nan
0.9,SSB_VAE,0.001,10000000.0,0.015625,0.5399035
0.9,SSB_VAE,0.0001,100000000.0,0.03125,Nan
0.9,SSB_VAE,1e-05,1000000000.0,0.0625,Nan
1.0,SSB_VAE,0.001,10000000.0,0.000244,0.5249455000000001
1.0,SSB_VAE,0.0001,100000000.0,0.000122,Nan
1.0,SSB_VAE,1e-05,1000000000.0,6.1e-05,Nan
