dataset,algorithm,level,alpha,beta,lambda,p@100
20News, SSB_VAE,0.1,0.001,1.0,0.000244,0.25554550000000004
20News, SSB_VAE,0.1,0.001,1.0,0.003906,0.253709
20News, SSB_VAE,0.1,0.001,1.0,0.015625,0.263536
20News, SSB_VAE,0.1,0.001,10000.0,0.000244,0.30867500000000003
20News, SSB_VAE,0.1,0.001,10000.0,0.003906,0.25778599999999996
20News, SSB_VAE,0.1,0.001,10000.0,0.015625,0.293409
20News, SSB_VAE,0.1,0.001,10000000.0,0.000244,0.26151450000000004
20News, SSB_VAE,0.1,0.001,10000000.0,0.003906,0.274272
20News, SSB_VAE,0.1,0.001,10000000.0,0.015625,0.256494
20News, SSB_VAE,0.1,10.0,1.0,0.000244,0.204741
20News, SSB_VAE,0.1,10.0,1.0,0.003906,0.211937
20News, SSB_VAE,0.1,10.0,1.0,0.015625,0.180995
20News, SSB_VAE,0.1,10.0,10000.0,0.000244,0.243198
20News, SSB_VAE,0.1,10.0,10000.0,0.003906,0.2526885
20News, SSB_VAE,0.1,10.0,10000.0,0.015625,0.2604115
20News, SSB_VAE,0.1,10.0,10000000.0,0.000244,0.46476399999999995
20News, SSB_VAE,0.1,10.0,10000000.0,0.003906,0.44788150000000004
20News, SSB_VAE,0.1,10.0,10000000.0,0.015625,0.4617845
20News, SSB_VAE,0.1,10000.0,1.0,0.000244,0.1734185
20News, SSB_VAE,0.1,10000.0,1.0,0.003906,0.20905800000000002
20News, SSB_VAE,0.1,10000.0,1.0,0.015625,0.193175
20News, SSB_VAE,0.1,10000.0,10000.0,0.000244,0.177804
20News, SSB_VAE,0.1,10000.0,10000.0,0.003906,0.1927305
20News, SSB_VAE,0.1,10000.0,10000.0,0.015625,0.1817955
20News, SSB_VAE,0.1,10000.0,10000000.0,0.000244,0.25791600000000003
20News, SSB_VAE,0.1,10000.0,10000000.0,0.003906,0.24907449999999998
20News, SSB_VAE,0.1,10000.0,10000000.0,0.015625,0.2604525
20News, SSB_VAE,0.2,0.001,1.0,0.000244,0.38287499999999997
20News, SSB_VAE,0.2,0.001,1.0,0.003906,0.402331
20News, SSB_VAE,0.2,0.001,1.0,0.015625,0.40638199999999997
20News, SSB_VAE,0.2,0.001,10000.0,0.000244,0.3492735
20News, SSB_VAE,0.2,0.001,10000.0,0.003906,0.35586999999999996
20News, SSB_VAE,0.2,0.001,10000.0,0.015625,0.27270700000000003
20News, SSB_VAE,0.2,0.001,10000000.0,0.000244,0.30512399999999995
20News, SSB_VAE,0.2,0.001,10000000.0,0.003906,0.3591355
20News, SSB_VAE,0.2,0.001,10000000.0,0.015625,0.4016085
20News, SSB_VAE,0.2,10.0,1.0,0.000244,0.209875
20News, SSB_VAE,0.2,10.0,1.0,0.003906,0.224275
20News, SSB_VAE,0.2,10.0,1.0,0.015625,0.17835050000000002
20News, SSB_VAE,0.2,10.0,10000.0,0.000244,0.422658
20News, SSB_VAE,0.2,10.0,10000.0,0.003906,0.41986500000000004
20News, SSB_VAE,0.2,10.0,10000.0,0.015625,0.428833
20News, SSB_VAE,0.2,10.0,10000000.0,0.000244,0.5274030000000001
20News, SSB_VAE,0.2,10.0,10000000.0,0.003906,0.476085
20News, SSB_VAE,0.2,10.0,10000000.0,0.015625,0.5736654999999999
20News, SSB_VAE,0.2,10000.0,1.0,0.000244,0.19052750000000002
20News, SSB_VAE,0.2,10000.0,1.0,0.003906,0.2035455
20News, SSB_VAE,0.2,10000.0,1.0,0.015625,0.184084
20News, SSB_VAE,0.2,10000.0,10000.0,0.000244,0.1971975
20News, SSB_VAE,0.2,10000.0,10000.0,0.003906,0.2066915
20News, SSB_VAE,0.2,10000.0,10000.0,0.015625,0.1757305
20News, SSB_VAE,0.2,10000.0,10000000.0,0.000244,0.4280575
20News, SSB_VAE,0.2,10000.0,10000000.0,0.003906,0.44646399999999997
20News, SSB_VAE,0.2,10000.0,10000000.0,0.015625,0.4498745
20News, SSB_VAE,0.3,0.001,1.0,0.000244,0.50571
20News, SSB_VAE,0.3,0.001,1.0,0.003906,0.5175205
20News, SSB_VAE,0.3,0.001,1.0,0.015625,0.539358
20News, SSB_VAE,0.3,0.001,10000.0,0.000244,0.420991
20News, SSB_VAE,0.3,0.001,10000.0,0.003906,0.4496675
20News, SSB_VAE,0.3,0.001,10000.0,0.015625,0.412752
20News, SSB_VAE,0.3,0.001,10000000.0,0.000244,0.2645365
20News, SSB_VAE,0.3,0.001,10000000.0,0.003906,0.3999455
20News, SSB_VAE,0.3,0.001,10000000.0,0.015625,0.4339695
20News, SSB_VAE,0.3,10.0,1.0,0.000244,0.205304
20News, SSB_VAE,0.3,10.0,1.0,0.003906,0.2106625
20News, SSB_VAE,0.3,10.0,1.0,0.015625,0.1711725
20News, SSB_VAE,0.3,10.0,10000.0,0.000244,0.530653
20News, SSB_VAE,0.3,10.0,10000.0,0.003906,0.5338225
20News, SSB_VAE,0.3,10.0,10000.0,0.015625,0.531944
20News, SSB_VAE,0.3,10.0,10000000.0,0.000244,0.493897
20News, SSB_VAE,0.3,10.0,10000000.0,0.003906,0.586486
20News, SSB_VAE,0.3,10.0,10000000.0,0.015625,0.5821975
20News, SSB_VAE,0.3,10000.0,1.0,0.000244,0.18095699999999998
20News, SSB_VAE,0.3,10000.0,1.0,0.003906,0.2066465
20News, SSB_VAE,0.3,10000.0,1.0,0.015625,0.19911
20News, SSB_VAE,0.3,10000.0,10000.0,0.000244,0.1962105
20News, SSB_VAE,0.3,10000.0,10000.0,0.003906,0.201599
20News, SSB_VAE,0.3,10000.0,10000.0,0.015625,0.1779865
20News, SSB_VAE,0.3,10000.0,10000000.0,0.000244,0.525438
20News, SSB_VAE,0.3,10000.0,10000000.0,0.003906,0.5217419999999999
20News, SSB_VAE,0.3,10000.0,10000000.0,0.015625,0.518154
20News, SSB_VAE,0.4,0.001,1.0,0.000244,0.55319
20News, SSB_VAE,0.4,0.001,1.0,0.003906,0.5873865
20News, SSB_VAE,0.4,0.001,1.0,0.015625,0.5949525
20News, SSB_VAE,0.4,0.001,10000.0,0.000244,0.4340675
20News, SSB_VAE,0.4,0.001,10000.0,0.003906,0.47395550000000003
20News, SSB_VAE,0.4,0.001,10000.0,0.015625,0.4238905
20News, SSB_VAE,0.4,0.001,10000000.0,0.000244,0.287925
20News, SSB_VAE,0.4,0.001,10000000.0,0.003906,0.5065169999999999
